ids	count
123c79b1-2233-4dba-84d8-4d9a003328ca_ENSG00000185379.21	834.0
123ead2a-b28a-4e2d-8d5f-0b01b5ad6e4e_ENSG00000136492.10	12.0
12723051-f6c7-45fe-9f25-7c14c0cd43a0_ENSG00000136492.10	7.0
127b5744-54c0-4e2f-bc11-4dc896908aa6_ENSG00000136492.10	14.0
127d1c61-e017-431c-b0f7-501f04d61d12_ENSG00000108384.16	52.0
1283338c-65b9-45a1-899a-9a69295a4712_ENSG00000108384.16	165.0
128ecd7f-db60-4e5a-91c1-9e4cb96353e3_ENSG00000108384.16	70.0
12a8a393-af93-4447-b066-566641c49a44_ENSG00000136492.10	7.0
1336460b-a0d2-42ec-90b8-f4ffba09ded4_ENSG00000185379.21	193.0
133b1bd9-c0bc-43f9-8803-652f1bfffc81_ENSG00000136492.10	83.0
1342e5c1-d8ac-491f-86f0-572f6587cc4a_ENSG00000136492.10	10.0
1369cf26-da1e-423c-a1a6-454c14600909_ENSG00000108384.16	17.0
1372cd2b-58ad-4882-adda-1f4d5336c579_ENSG00000136492.10	11.0
13989aae-7055-4a11-bce2-506aaf8306c1_ENSG00000136492.10	7.0
13ab72ff-cac6-410b-aaa0-d600d7253fca_ENSG00000136492.10	5.0
13bbbf9f-4d3b-4ba1-b760-e9fbb94d5153_ENSG00000108384.16	10.0
13d39b99-42fa-45a6-a580-065de2155544_ENSG00000185379.21	33.0
13fa8b48-e11a-4c3d-aaec-440950643e42_ENSG00000108384.16	16.0
13fea5c1-3bc8-438e-8970-91d5f62b3004_ENSG00000108384.16	6.0
142b6ff3-1aae-4ce7-a9d9-d5f2a66c3ba0_ENSG00000136492.10	603.0
146b277b-c8be-40b3-ad8d-8f8990b04737_ENSG00000136492.10	21.0
14795c04-f5ca-4f9a-aa58-a9585477be6d_ENSG00000108384.16	17.0
148d8599-9064-46ab-860e-4c322d920adf_ENSG00000136492.10	5.0
14aa0a10-c8b1-45d7-a311-79f5e1d2551f_ENSG00000108384.16	11.0
14bd5762-335a-4b0e-b86d-1b4d16c7f065_ENSG00000136492.10	253.0
14c43b09-8bda-4bc6-8def-c73a68bf3a57_ENSG00000136492.10	24.0
14cbe982-5fd6-4599-a453-88aa763f1e85_ENSG00000136492.10	119.0
14d7f8a3-e4d3-4761-a879-4ecc32f787da_ENSG00000136492.10	21.0
14d94829-02df-4452-93e7-565be97d4a40_ENSG00000136492.10	9.0
14de2cf2-21b2-4c28-b6d9-ef7c85b41254_ENSG00000136492.10	27.0
14f4e0f7-5cd7-438f-9290-46175a19e648_ENSG00000136492.10	8.0
14f4f9ea-80f6-425c-b5bd-d8d3c223380b_ENSG00000136492.10	9.0
15135aa5-32cc-4cbc-bacf-5b2c8a8dfa72_ENSG00000108384.16	32.0
152347e6-9e9b-47ea-9580-17b31828ed85_ENSG00000108384.16	9.0
1548ea5c-33f0-4407-b109-9bc7b23401d8_ENSG00000136492.10	26.0
15492bb9-e622-4785-a87e-23880ff0ea28_ENSG00000136492.10	261.0
156a0a6c-771f-4466-9997-169ef0c8f07e_ENSG00000108384.16	78.0
159df56e-6c01-4ab0-8e8c-6ac36f36a68c_ENSG00000136492.10	6.0
15b20049-c237-4d5c-ab5c-cae3bcac1ff3_ENSG00000136492.10	22.0
15c1ef5d-6168-480f-afea-8e188e1c7a1d_ENSG00000185379.21	33.0
15d3e469-0b72-4627-bb0f-9bc4f18342b6_ENSG00000108384.16	8.0
15ef8617-6d98-49ec-86e3-2d4d2b0c90bd_ENSG00000136492.10	27.0
15f5772a-dd16-4206-a17c-350c16a8bfff_ENSG00000185379.21	56.0
162eefb2-76ba-431f-ae79-c0d2c3f576a1_ENSG00000185379.21	35.0
1633ddd9-137c-4646-b071-7bb62e588f0a_ENSG00000136492.10	62.0
166c300a-2702-46a1-8071-31455198a11d_ENSG00000136492.10	20.0
16887f04-8116-41f0-a147-25a4333506cd_ENSG00000136492.10	27.0
16ac93b0-af2b-4096-a86d-1f77f16f2f31_ENSG00000136492.10	9.0
16b498cf-b920-46cd-9d99-161054c5ae46_ENSG00000108384.16	29.0
16e4f47c-464a-4542-bb89-30bb35ae2f96_ENSG00000136492.10	30.0
16f57584-cc08-4d2e-b7e4-d1ea49cd0b28_ENSG00000136492.10	11.0
16f8e29d-f703-4fbe-a715-8cfd3151b169_ENSG00000108384.16	3388.0
1711d90c-8cd7-4b02-8a48-3049b957788f_ENSG00000136492.10	16.0
174d09ef-16a9-491d-80f8-8844c9ad1cac_ENSG00000108384.16	3.0
1778ce77-30bd-4c8e-bb51-2f1d35c4244c_ENSG00000108384.16	51.0
17cb42b0-ec21-4400-9388-86c7b583d34e_ENSG00000136492.10	14.0
17e2135f-f889-4311-a33e-d077b0745e5b_ENSG00000136492.10	18.0
17eebea1-b519-4deb-bc8d-a96d10dac7d4_ENSG00000136492.10	21.0
17ff1763-c799-4c84-bd82-011f064da808_ENSG00000108384.16	45.0
1837f0e4-f0af-4ba4-8ec2-381a587b4fe7_ENSG00000108384.16	32.0
1841a983-05a6-43ab-b0cd-4e1328376e23_ENSG00000136492.10	782.0
185497a8-e622-463c-85be-7b6baba3a1b5_ENSG00000136492.10	71.0
18a0cba4-b24b-4d77-a084-16fc09401ca9_ENSG00000136492.10	36.0
