ids	sample1_conditionA_batch1	sample2_conditionA_batch1	sample3_conditionA_batch1	sample4_conditionA_batch1	sample5_conditionA_batch1
8f4124dc-735a-44ea-b3d0-83de607e348c_ENSG00000183765.23	0.0	2.0	6.0	0.0	0.0
901592c7-c199-4a57-9b0c-d56d8f904d8f_ENSG00000183765.23	3.0	12.0	3.0	1.0	0.0
92f42830-cbce-4dd8-af92-75e7d0689aa3_ENSG00000183765.23	303.0	3.0	0.0	0.0	0.0
933555e5-ec67-4720-8500-d8ebde9fbe90_ENSG00000183765.23	0.0	28.0	1.0	0.0	0.0
9479cb02-e5e4-49dc-be9e-a0d64bd857b0_ENSG00000183765.23	0.0	4.0	2.0	0.0	0.0
95cdc77f-4336-4e57-8375-0cc86f792cb6_ENSG00000183765.23	2.0	7.0	9.0	5.0	0.0
968b806c-6669-4f8a-8c4b-34479b48ad2e_ENSG00000183765.23	0.0	7.0	2.0	2.0	0.0
9e264183-b6f4-4ba3-992b-6f69cfaafe7d_ENSG00000183765.23	0.0	2.0	3.0	5.0	0.0
9f26b60f-0d4f-40bb-ad79-44eb920c5dce_ENSG00000183765.23	1.0	3.0	6.0	0.0	0.0
ENST00000403642.5_ENSG00000183765.23	1.0	14.0	4.0	4.0	0.0
ENST00000417588.5_ENSG00000183765.23	6.0	2568.0	15.0	200.0	0.0
ENST00000433728.5_ENSG00000183765.23	393.0	19405.0	8.0	280.0	0.0
ENST00000448511.5_ENSG00000183765.23	1.0	18.0	3.0	68.0	0.0
a383c3d6-38cb-4430-a22b-cac034ce6bc0_ENSG00000183765.23	0.0	2.0	5.0	1.0	0.0
a6a48b46-8406-4082-a543-bfe6b281fba3_ENSG00000183765.23	2.0	7.0	7.0	5.0	0.0
a9362c53-620b-40f9-827c-fa94b8e10925_ENSG00000183765.23	0.0	6.0	1.0	1.0	0.0
aa825193-b2c5-4a79-8e67-49a948c6ebe9_ENSG00000183765.23	0.0	5.0	1.0	1.0	0.0
ab0cddd3-fe56-4adc-a2d2-089eba637636_ENSG00000183765.23	0.0	5.0	3.0	0.0	0.0
ab2b034e-e3fe-4aeb-a56f-6c72b7f3d0dc_ENSG00000183765.23	0.0	3.0	0.0	1.0	0.0
ae7b704f-b73c-46b2-8742-20e3c1c0e48e_ENSG00000183765.23	4.0	9.0	285.0	6.0	0.0
b2effd92-fa69-47a8-be27-6de25d8e6a71_ENSG00000183765.23	0.0	15.0	3.0	0.0	0.0
b3d8f3fb-2ad2-4a7d-9876-50ecaa5a4f37_ENSG00000183765.23	0.0	8.0	0.0	0.0	0.0
b5326a9d-7e43-49b4-853e-f5459ccc0b99_ENSG00000183765.23	0.0	9.0	1.0	0.0	0.0
bbac3ae4-1fdb-472a-9bd2-ee6841b35327_ENSG00000183765.23	0.0	12.0	3.0	1.0	0.0
bdef41ff-b8be-4261-857d-83e811bd7c67_ENSG00000183765.23	5.0	20.0	3.0	4.0	0.0
c2187b55-b210-4d63-8a3a-3769d2a13c75_ENSG00000183765.23	2.0	1.0	6.0	2.0	0.0
c2d9663d-8987-47b3-97c8-b8781f015285_ENSG00000183765.23	0.0	3.0	0.0	3.0	0.0
ca0efed5-abd3-43d4-b615-6cc111002aba_ENSG00000183765.23	0.0	4.0	2.0	1.0	0.0
cb19ea2b-6889-4cf8-8305-15752f8e510b_ENSG00000183765.23	0.0	12.0	8.0	6.0	0.0
cb301cb9-bcb9-4a58-9534-2de84cfbb33d_ENSG00000183765.23	1.0	7.0	2.0	2.0	0.0
cd11687d-27cc-4a56-b583-11a5d141c249_ENSG00000183765.23	0.0	21.0	5.0	1.0	0.0
cddac82a-3d2d-4a43-9364-48ae1d40a3b0_ENSG00000183765.23	2.0	9.0	3.0	0.0	0.0
ce0317fb-8cc4-4899-b128-7f61968ed9b2_ENSG00000183765.23	2.0	8.0	3.0	4.0	0.0
ce8c17d2-07da-4a6f-bd0c-c1c8e04d5438_ENSG00000183765.23	1.0	40.0	1.0	0.0	0.0
cf3cc53c-caf1-4926-b97b-6720bdb7be28_ENSG00000183765.23	2.0	4.0	2.0	88.0	0.0
d047be51-6800-4587-a7df-b729b94a114a_ENSG00000183765.23	3.0	286.0	0.0	2.0	0.0
d0ead0ab-a82e-4d3d-9142-43f1325650c5_ENSG00000183765.23	1.0	7.0	7.0	0.0	0.0
d221ffd2-f4fa-4458-a4e1-4835dc3eb3d3_ENSG00000183765.23	0.0	11.0	4.0	97.0	0.0
d351643a-d390-4b18-a7c5-d441604d22f8_ENSG00000183765.23	104.0	6226.0	1.0	6.0	0.0
d4a8caa0-ce83-4298-b7f9-284b30d1423c_ENSG00000183765.23	9.0	30.0	14.0	12.0	0.0
d6700ce5-1dbc-4661-bd6b-2741d73f9f7e_ENSG00000183765.23	1.0	7.0	5.0	2.0	0.0
d6d8f2a4-2797-4552-8100-92ffc87363f1_ENSG00000183765.23	3.0	16.0	8.0	117.0	0.0
d96ea0f7-5b19-4bc9-a644-48fdf01b0ccf_ENSG00000183765.23	1.0	3.0	3.0	3.0	0.0
