ids	count
57f3c3cc-b8c2-4566-a3d2-0c1c9e2a918c_ENSG00000183765.23	156.0
5807c88f-335b-46cf-a7c6-5b58c521ed27_ENSG00000183765.23	10.0
5872e162-6554-4869-a7e4-af3b49841f49_ENSG00000183765.23	1258.0
58c66451-dfff-4948-9a3b-33b405bf7f07_ENSG00000183765.23	26.0
59d1220c-7f21-45b2-b4e0-ce94e4fbf66b_ENSG00000183765.23	210.0
5a362215-157c-4666-a540-0d66583fac66_ENSG00000183765.23	824.0
5a464779-11a9-4220-9a47-48a320a820ea_ENSG00000183765.23	11.0
5a5befe5-217f-4e93-89af-edfcabb6f9af_ENSG00000183765.23	7.0
5aaf6b0b-db26-4304-8efa-e4f0b481eb8e_ENSG00000183765.23	6.0
5acd4d6e-d406-4c86-a44c-7b1e28c4e028_ENSG00000183765.23	221.0
5b8cfea2-29b7-4c29-bf86-fd361d8634d1_ENSG00000183765.23	8.0
5c2c6450-52a7-47b0-82a3-1aac2e70eb0b_ENSG00000183765.23	13.0
5c607d0d-9bb3-447f-a1ae-22daf3522d21_ENSG00000183765.23	15.0
5c73631e-e073-4898-9c79-66b4f66cf331_ENSG00000183765.23	10.0
5da753b8-1a88-4aa5-be53-a7f3f3c6b215_ENSG00000183765.23	19.0
5dd1a92a-007e-496c-a14a-a84ad9b9db6c_ENSG00000183765.23	64.0
5de04c66-df6d-4539-bc89-99e7b4a84675_ENSG00000183765.23	6.0
5f4b7717-6132-4daf-9724-cc37c592a67e_ENSG00000183765.23	6.0
5f645b47-46df-4896-bb07-adae10f9dc87_ENSG00000183765.23	6.0
60c150be-404e-4c09-8032-d8aa05f6e091_ENSG00000183765.23	174.0
61507aae-c809-421b-9f1c-32d7ba99bf5f_ENSG00000183765.23	179.0
61955bf4-6c02-4c61-9a94-8b8012fda326_ENSG00000183765.23	5.0
61f209a4-0ace-4d48-8ba7-8ffefc976752_ENSG00000183765.23	6.0
62495c7b-681e-4824-81f4-c5b3ef1fff82_ENSG00000183765.23	9.0
62c1db50-72c1-434c-88a2-a549451a69a0_ENSG00000183765.23	7.0
62ea47a8-c324-467c-9bed-eb720483d54c_ENSG00000183765.23	13.0
631341ae-2955-432f-ab03-0ac495a82d17_ENSG00000183765.23	12.0
